network,ip_start,ip_end,region,university
202.118.176.0/20,202.118.176.0,202.118.191.255,黑龙江省哈尔滨市,哈尔滨工程大学教育网
202.118.164.0/24,202.118.160.0,202.118.167.255,黑龙江省哈尔滨市,东北农业大学教育网
202.118.128.0/20,202.118.128.0,202.118.143.255,黑龙江省哈尔滨市,哈尔滨师范大学教育网
202.118.120.0/21,202.118.120.0,202.118.127.255,辽宁省抚顺市,辽宁石油化工大学教育网
202.118.116.0/22,202.118.116.0,202.118.119.255,辽宁省沈阳市,沈阳工程学院教育网
202.118.96.0/20,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.87.0/24,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.80.0/20,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.72.0/24,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.66.0/24,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.64.0/20,202.118.64.0,202.118.111.255,辽宁省大连市,大连理工大学教育网
202.118.61.0/24,202.118.48.0,202.118.63.255,辽宁省沈阳市,辽宁大学教育网
202.118.48.0/20,202.118.48.0,202.118.63.255,辽宁省沈阳市,辽宁大学教育网
202.118.40.0/21,202.118.40.0,202.118.47.255,辽宁省沈阳市,中国医科大学教育网
202.118.32.0/21,202.118.32.0,202.118.39.255,辽宁省沈阳市,沈阳理工大学教育网
202.118.160.0/21,202.118.160.0,202.118.167.255,黑龙江省哈尔滨市,东北农业大学教育网
